prompt,chosen,rejected
How refreshing that rain shower felt!,exclamative,interrogative
Demonstrate leadership.,imperative,exclamative
How thrilling this new venture is!,exclamative,declarative
Your body contains enough DNA to stretch from the sun to Pluto and back.,declarative,imperative
"Aha, I have an idea!",exclamative,declarative
The heart of a blue whale is as big as a small car.,declarative,interrogative
How captivating this artwork is!,exclamative,interrogative
Women's hearts beat faster than men's.,declarative,interrogative
"Phew, feel that relief!",exclamative,interrogative
Enjoy the sunset.,imperative,declarative
"Phew, glad that’s settled!",exclamative,imperative
Enjoy the moment!,exclamative,declarative
How memorable this event will be!,exclamative,declarative
Deepen your connections.,imperative,exclamative
Gorillas can catch human colds and other illnesses.,declarative,exclamative
Are you fluent in any languages?,interrogative,imperative
Would you please try again?,imperative,interrogative
Charmed!,exclamative,interrogative
Play an outdoor sport.,imperative,declarative
Sea cucumbers can eject their internal organs as a defense mechanism.,declarative,imperative
What a thoughtful gift you gave!,exclamative,declarative
How breathtaking this landscape is!,exclamative,imperative
"Bravo, that was fantastic!",exclamative,declarative
Attend artistic events.,imperative,declarative
What’s your biggest regret?,interrogative,declarative
Practice effective communication.,imperative,declarative
A strawberry is an aggregate accessory fruit.,declarative,imperative
"Yikes, keep an eye out!",exclamative,imperative
Ohlala!,exclamative,declarative
"Wow, how creative!",exclamative,interrogative
What’s your go-to snack?,interrogative,imperative
"Oh dear, what happened?",exclamative,declarative
Please give me a moment.,imperative,interrogative
What a delightful surprise visit!,exclamative,interrogative
The world's longest snake on record measured 33 feet.,declarative,exclamative
Living life!,exclamative,interrogative
What’s your hobby?,interrogative,imperative
Can you play an instrument?,interrogative,imperative
A bear’s nose is as sensitive as a dog’s.,declarative,imperative
An octopus has three hearts and blue blood.,declarative,exclamative
Ready to burst!,exclamative,interrogative
Cheetahs cannot roar but they can purr.,declarative,interrogative
What’s your favorite type of weather?,interrogative,exclamative
"Wow, nature is so beautiful!",exclamative,declarative
Embrace the challenge.,imperative,declarative
"Hooray, it’s our moment!",exclamative,interrogative
A polar bear's fur is actually clear.,declarative,interrogative
"Yikes, what a discovery!",exclamative,interrogative
Carrots were originally purple.,declarative,interrogative
Alrighty then!,exclamative,interrogative
"Hooray, we did it together!",exclamative,interrogative
Cows have best friends and can become stressed when separated.,declarative,imperative
Tip top!,exclamative,imperative
What a lovely backdrop for a photo!,exclamative,declarative
"The shortest war in history was between Britain and Zanzibar on August 27, 1896.",declarative,imperative
"Eek, let’s buckle up!",exclamative,imperative
What a unique experience that was!,exclamative,interrogative
Seek inspiration.,imperative,interrogative
"Amazing, what a twist of fate!",exclamative,declarative
"Yay, we did it together!",exclamative,declarative
"Whoa, that’s radical!",exclamative,imperative
A chef's hat has 100 folds representing 100 different ways to cook an egg.,declarative,exclamative
"Hooray, this is fantastic!",exclamative,interrogative
What a unique and interesting person you are!,exclamative,imperative
How tantalizing that scent is!,exclamative,interrogative
Strive for equitable solutions.,imperative,exclamative
What a vibrant energy fills the room!,exclamative,interrogative
How joyful this event has been!,exclamative,imperative
Take ownership of your actions.,imperative,interrogative
A bunny's teeth never stop growing.,declarative,exclamative
Count me in!,exclamative,imperative
Do you enjoy cooking?,interrogative,exclamative
Do you enjoy working in teams?,interrogative,imperative
How graceful your movements were!,exclamative,declarative
What is the last skill you learned?,interrogative,declarative
What an extravagant party!,exclamative,imperative
What a fantastic story to share!,exclamative,declarative
Believe in yourself!,exclamative,interrogative
What an adventurous spirit you have!,exclamative,interrogative
How memorable that day was!,exclamative,declarative
How exciting this adventure will be!,exclamative,declarative
Cows produce more milk when they listen to music.,declarative,interrogative
Smooth sailing!,exclamative,imperative
"Hooray, we are together!",exclamative,imperative
How impressive your knowledge is!,exclamative,imperative
How do you handle disappointment?,interrogative,exclamative
"Yay, we’re in for a treat!",exclamative,imperative
What’s your favorite thing about summer?,interrogative,declarative
Full of health!,exclamative,imperative
How electrifying that performance was!,exclamative,imperative
How inviting the exterior of this house looks!,exclamative,imperative
"Hooray, the adventure never ends!",exclamative,declarative
"Eek, how thrilling this is!",exclamative,declarative
How generous your spirit is!,exclamative,declarative
"Oh no, not again!",exclamative,interrogative
Seek clarity in communication.,imperative,exclamative
What a beautifully crafted piece of furniture!,exclamative,imperative
Fantastic news!,exclamative,interrogative
How fun that party was!,exclamative,imperative
Celebrate cultural diversity.,imperative,declarative
What is your all-time favorite TV show?,interrogative,declarative
Adults have fewer bones than babies due to bone fusion.,declarative,imperative
Write down your dreams.,imperative,declarative
How heartwarming that reunion was!,exclamative,declarative
How exciting the upcoming trip will be!,exclamative,interrogative
Do you like to take photographs?,interrogative,imperative
Experience bliss!,exclamative,interrogative
Explore scientific topics.,imperative,declarative
A slug has four noses.,declarative,exclamative
Awwww!,exclamative,declarative
Keep it up!,exclamative,declarative
A day on Mercury is longer than a year on Mercury.,declarative,imperative
What a surprise!,exclamative,interrogative
The world’s largest living organism is a fungus in Oregon.,declarative,interrogative
What a grand spectacle!,exclamative,declarative
Hummingbirds are the only birds that can fly backward.,declarative,imperative
How stunning that dress looks!,exclamative,imperative
The world's largest snowflake was recorded at 15 inches wide.,declarative,imperative
Balance your commitments.,imperative,declarative
Create beautiful experiences.,imperative,declarative
Nuh-uh!,exclamative,interrogative
A rabbit's teeth never stop growing.,declarative,imperative
Speak positively about others.,imperative,interrogative
Promote teamwork.,imperative,declarative
What is the best advice you have ever received?,interrogative,imperative
Cows can recognize individual humans.,declarative,exclamative
What do you think is the greatest invention?,interrogative,declarative
Most of the dust in your home is made of dead skin cells.,declarative,imperative
Do you enjoy cooking for others?,interrogative,declarative
"Eek, the suspense is real!",exclamative,interrogative
Sea turtles can hold their breath for up to 5 hours.,declarative,interrogative
Hooah!,exclamative,interrogative
Have you ever faced a phobia?,interrogative,declarative
Can you knit or sew?,interrogative,imperative
"A group of geese in flight is called a ""skein.""",declarative,interrogative
The world’s largest desert is Antarctica.,declarative,imperative
"Phew, what a journey it’s been!",exclamative,interrogative
Rekindle friendships.,imperative,exclamative
Celebrate acts of kindness.,imperative,interrogative
A jellyfish is approximately 95% water.,declarative,imperative
Have you ever met someone famous?,interrogative,exclamative
Prune the garden.,imperative,exclamative
What a joyful reunion!,exclamative,imperative
Woot!,exclamative,imperative
Do you like long walks?,interrogative,exclamative
Nutmeg is extremely poisonous if injected intravenously.,declarative,exclamative
Cultivate optimism.,imperative,declarative
"Wow, how charming that is!",exclamative,declarative
An octopus has nine brains.,declarative,exclamative
"Amazing, I’m impressed!",exclamative,interrogative
What an awesome treat you made!,exclamative,interrogative
"Whoa, so much enthusiasm!",exclamative,interrogative
Join a support group.,imperative,declarative
Compile a list.,imperative,declarative
How uplifting this community spirit is!,exclamative,interrogative
How refreshing the taste of mint is!,exclamative,interrogative
